order_month,total_orders,total_revenue,avg_order_value
2016-10-01,265,46566.71,175.72
2017-01-01,750,127545.67,170.06
2017-02-01,1653,271298.65,164.13
2017-03-01,2546,414369.39,162.75
2017-04-01,2303,390952.18,169.76
2017-05-01,3546,567066.73,159.92
2017-06-01,3135,490225.6,156.37
2017-07-01,3872,566403.93,146.28
2017-08-01,4193,646000.61,154.07
2017-09-01,4150,701169.99,168.96
2017-10-01,4478,751140.27,167.74
2017-11-01,7289,1153528.05,158.26
2017-12-01,5513,843199.17,152.95
2018-01-01,7069,1078606.86,152.58
2018-02-01,6555,966510.88,147.45
2018-03-01,7003,1120678.0,160.03
2018-04-01,6798,1132933.95,166.66
2018-05-01,6749,1128836.69,167.26
2018-06-01,6099,1012090.68,165.94
2018-07-01,6159,1027903.86,166.89
